Category,Course Title,Course URL
postgraduate,MSc Adult Nursing,https://www.bournemouth.ac.uk/study/courses/msc-adult-nursing
postgraduate,MSc Advanced Clinical Practice,https://www.bournemouth.ac.uk/study/courses/msc-advanced-clinical-practice
postgraduate,MSc Advanced Clinical Practice (Integrated degree apprenticeship for advanced clinical practitioner),https://www.bournemouth.ac.uk/study/courses/msc-advanced-clinical-practice-integrated-degree-apprenticeship-advanced-clinical-practitioner
postgraduate,MSc Medical Imaging with Management,https://www.bournemouth.ac.uk/study/courses/msc-medical-imaging-management
postgraduate,MSc Mental Health Nursing,https://www.bournemouth.ac.uk/study/courses/msc-mental-health-nursing
postgraduate,MSc Nutrition & Behaviour,https://www.bournemouth.ac.uk/study/courses/msc-nutrition-behaviour
postgraduate,MSc Public Health,https://www.bournemouth.ac.uk/study/courses/msc-public-health
postgraduate,MSc/PG Dip Physician Associate Studies,https://www.bournemouth.ac.uk/study/courses/mscpg-dip-physician-associate-studies
postgraduate,PG Cert Enhanced Clinical Practitioner Apprenticeship,https://www.bournemouth.ac.uk/study/courses/pg-cert-enhanced-clinical-practitioner-apprenticeship
postgraduate,MA Creative Writing and Publishing,https://www.bournemouth.ac.uk/study/courses/ma-creative-writing-publishing
postgraduate,MA Media and Communication,https://www.bournemouth.ac.uk/study/courses/ma-media-communication
postgraduate,MA Multimedia Journalism,https://www.bournemouth.ac.uk/study/courses/ma-multimedia-journalism
postgraduate,LLM Intellectual Property,https://www.bournemouth.ac.uk/study/courses/llm-intellectual-property
postgraduate,LLM International Commercial Law,https://www.bournemouth.ac.uk/study/courses/llm-international-commercial-law
postgraduate,LLM International Tax Law,https://www.bournemouth.ac.uk/study/courses/llm-international-tax-law
postgraduate,LLM Law,https://www.bournemouth.ac.uk/study/courses/llm-law
postgraduate,LLM Legal Practice,https://www.bournemouth.ac.uk/study/courses/llm-legal-practice
postgraduate,LLM Public International Law,https://www.bournemouth.ac.uk/study/courses/llm-public-international-law
postgraduate,MA Criminology and Criminal Justice,https://www.bournemouth.ac.uk/study/courses/ma-criminology-criminal-justice
postgraduate,PG Cert Intellectual Property,https://www.bournemouth.ac.uk/study/courses/pg-cert-intellectual-property
postgraduate,MSc Biodiversity Conservation,https://www.bournemouth.ac.uk/study/courses/msc-biodiversity-conservation
postgraduate,MSc Green Economy,https://www.bournemouth.ac.uk/study/courses/msc-green-economy
postgraduate,MA Advertising,https://www.bournemouth.ac.uk/study/courses/ma-advertising
postgraduate,MA Marketing Communications,https://www.bournemouth.ac.uk/study/courses/ma-marketing-communications
postgraduate,MSc Marketing and User Experience,https://www.bournemouth.ac.uk/study/courses/msc-marketing-user-experience
postgraduate,MSc Marketing Management,https://www.bournemouth.ac.uk/study/courses/msc-marketing-management
postgraduate,MSc Marketing Management (Digital),https://www.bournemouth.ac.uk/study/courses/msc-marketing-management-digital
postgraduate,MA Cinematography for Film and Television,https://www.bournemouth.ac.uk/study/courses/ma-cinematography-film-television
postgraduate,MA Directing Film and Television,https://www.bournemouth.ac.uk/study/courses/ma-directing-film-television
postgraduate,MA Film & Television,https://www.bournemouth.ac.uk/study/courses/ma-film-television
postgraduate,MA Post Production Editing,https://www.bournemouth.ac.uk/study/courses/ma-post-production-editing
postgraduate,MA Producing Film and Television,https://www.bournemouth.ac.uk/study/courses/ma-producing-film-television
postgraduate,MA Production Management,https://www.bournemouth.ac.uk/study/courses/ma-production-management
postgraduate,MA Scriptwriting,https://www.bournemouth.ac.uk/study/courses/ma-scriptwriting
postgraduate,MA Sound Design for Screen,https://www.bournemouth.ac.uk/study/courses/ma-sound-design-screen
postgraduate,MA International Political Communication,https://www.bournemouth.ac.uk/study/courses/ma-international-political-communication
postgraduate,MA Political Psychology,https://www.bournemouth.ac.uk/study/courses/ma-political-psychology
postgraduate,MA Political Psychology,https://www.bournemouth.ac.uk/study/courses/ma-political-psychology
postgraduate,MSc Clinical and Developmental Neuropsychology,https://www.bournemouth.ac.uk/study/courses/msc-clinical-developmental-neuropsychology
postgraduate,MSc Foundations of Clinical Psychology,https://www.bournemouth.ac.uk/study/courses/msc-foundations-clinical-psychology
postgraduate,MSc Investigative Forensic Psychology,https://www.bournemouth.ac.uk/study/courses/msc-investigative-forensic-psychology
postgraduate,MSc Psychology,https://www.bournemouth.ac.uk/study/courses/msc-psychology
postgraduate,MSc Research Methods,https://www.bournemouth.ac.uk/study/courses/msc-research-methods
postgraduate,MA Social Work,https://www.bournemouth.ac.uk/study/courses/ma-social-work
postgraduate,PG Dip/MA Social Work (Children & Families),https://www.bournemouth.ac.uk/study/courses/pg-dipma-social-work-children-families
postgraduate,MSc Safe Sport,https://www.bournemouth.ac.uk/study/courses/msc-safe-sport
postgraduate,MSc Sport and Exercise Science,https://www.bournemouth.ac.uk/study/courses/msc-sport-exercise-science-1
postgraduate,MSc Sport Business Leadership,https://www.bournemouth.ac.uk/study/courses/msc-sport-business-leadership
postgraduate,MSc Sport Innovation Management and Entrepreneurship,https://www.bournemouth.ac.uk/study/courses/msc-sport-innovation-management-entrepreneurship-2
postgraduate,MSc Sport Management,https://www.bournemouth.ac.uk/study/courses/msc-sport-management
postgraduate,MSc Sport Media Management,https://www.bournemouth.ac.uk/study/courses/msc-sport-media-management
postgraduate,MSc Sports Performance Analysis,https://www.bournemouth.ac.uk/study/courses/msc-sports-performance-analysis
postgraduate,MSc Strength and Conditioning,https://www.bournemouth.ac.uk/study/courses/msc-strength-conditioning
postgraduate,MSc Events Management,https://www.bournemouth.ac.uk/study/courses/msc-events-management
postgraduate,MSc International Hospitality and Tourism Management,https://www.bournemouth.ac.uk/study/courses/msc-international-hospitality-tourism-management
postgraduate,MSc Tourism Management,https://www.bournemouth.ac.uk/study/courses/msc-tourism-management
